eps = 0.1
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1       8.975       9.025     8.85062     9.15063          -2       9.025      11.025     1.99546
 2      3.4875      3.5375     6.31266     6.06391      3.4875       9.025      5.5375     1.99097
 3     6.23125     6.28125   0.0534766   0.0791016      3.4875     6.28125     2.79375      1.9821
 4     4.85938     4.90938     1.30103     1.18946     4.85938     6.28125     1.42188     1.96484
 5     5.54531     5.59531    0.206741    0.163772     5.54531     6.28125    0.735938     1.93206
 6     5.88828     5.93828   0.0124811   0.0038092     5.88828     6.28125    0.392969     1.87276
 7     6.05977     6.10977  0.00357193   0.0120485     5.88828     6.10977    0.221484     1.77425
 8     5.97402     6.02402 0.000674782 0.000577126     5.97402     6.10977    0.135742     1.63165
 9     6.01689     6.06689 0.000285425  0.00447488     5.97402     6.06689   0.0928711     1.46162
Result: 6.02045898438	Iter: 9	Error: 0.020458984375
eps = 0.01
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1      8.9975      9.0025     8.98501     9.01501          -2      9.0025     11.0025     1.99955
 2     3.49875     3.50375     6.25625     6.23126     3.49875      9.0025     5.50375     1.99909
 3     6.24812     6.25312    0.061566   0.0640723     3.49875     6.25312     2.75438     1.99818
 4     4.87344     4.87844     1.26914      1.2579     4.87344     6.25312     1.37969     1.99638
 5     5.56078     5.56578    0.192913    0.188546     5.56078     6.25312    0.692344     1.99278
 6     5.90445     5.90945  0.00912921  0.00819874     5.90445     6.25312    0.348672     1.98566
 7     6.07629     6.08129  0.00582002  0.00660791     5.90445     6.08129    0.176836     1.97173
 8     5.99037     5.99537 9.27158e-05 2.14268e-05     5.99037     6.08129    0.090918     1.94501
 9     6.03333     6.03833  0.00111089  0.00146919     5.99037     6.03833    0.047959     1.89574
10     6.01185     6.01685 0.000140436 0.000283942     5.99037     6.01685   0.0264795     1.81117
11     6.00111     6.00611 1.23397e-06 3.73424e-05     5.99037     6.00611   0.0157397     1.68233
12     5.99574     6.00074 1.81394e-05 5.49032e-07     5.99574     6.00611   0.0103699     1.51783
13     5.99843     6.00343 2.47778e-06 1.17368e-05     5.99574     6.00343  0.00768494     1.34938
Result: 5.99958343506	Iter: 13	Error: 0.000416564941407
eps = 0.001
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     8.99975     9.00025      8.9985      9.0015          -2     9.00025     11.0002     1.99995
 2     3.49987     3.50037     6.25063     6.24813     3.49987     9.00025     5.50038     1.99991
 3     6.24981     6.25031   0.0624063   0.0626563     3.49987     6.25031     2.75044     1.99982
 4     4.87484     4.87534     1.26598     1.26485     4.87484     6.25031     1.37547     1.99964
 5     5.56233     5.56283    0.191557    0.191119     5.56233     6.25031    0.687984     1.99927
 6     5.90607     5.90657  0.00882279  0.00872911     5.90607     6.25031    0.344242     1.99855
 7     6.07794     6.07844  0.00607486  0.00615305     5.90607     6.07844    0.172371      1.9971
 8     5.99201     5.99251 6.39063e-05 5.61621e-05     5.99201     6.07844   0.0864355     1.99422
 9     6.03497     6.03547  0.00122315  0.00125838     5.99201     6.03547   0.0434678      1.9885
10     6.01349     6.01399 0.000181973 0.000195713     5.99201     6.01399   0.0219839     1.97726
11     6.00275     6.00325 7.55042e-06 1.05482e-05     5.99201     6.00325   0.0112419     1.95552
12     5.99738     5.99788 6.88102e-06 4.50785e-06     5.99738     6.00325  0.00587097     1.91484
13     6.00006     6.00056  3.8834e-09   3.162e-07     5.99738     6.00056  0.00318549     1.84304
14     5.99872     5.99922 1.63949e-06 6.09065e-07     5.99872     6.00056  0.00184274     1.72867
15     5.99939     5.99989 3.70947e-07 1.18929e-08     5.99939     6.00056  0.00117137     1.57315
16     5.99973     6.00023 7.47305e-08 5.13617e-08     5.99973     6.00056 0.000835686     1.40169
Result: 6.00014447403	Iter: 16	Error: 0.000144474029541
eps = 0.0001
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     8.99997     9.00003     8.99985     9.00015          -2     9.00003          11           2
 2     3.49999     3.50004     6.25006     6.24981     3.49999     9.00003     5.50004     1.99999
 3     6.24998     6.25003   0.0624906   0.0625156     3.49999     6.25003     2.75004     1.99998
 4     4.87498     4.87503     1.26566     1.26555     4.87498     6.25003     1.37505     1.99996
 5     5.56248     5.56253    0.191421    0.191378     5.56248     6.25003    0.687548     1.99993
 6     5.90623     5.90628  0.00879243  0.00878306     5.90623     6.25003    0.343799     1.99985
 7     6.07811     6.07816  0.00610065  0.00610846     5.90623     6.07816    0.171925     1.99971
 8     5.99217     5.99222 6.13193e-05 6.05387e-05     5.99217     6.07816   0.0859873     1.99942
 9     6.03514     6.03519  0.00123468  0.00123819     5.99217     6.03519   0.0430187     1.99884
10     6.01365      6.0137 0.000186422  0.00018779     5.99217      6.0137   0.0215343     1.99768
11     6.00291     6.00296 8.47683e-06 8.77048e-06     5.99217     6.00296   0.0107922     1.99537
12     5.99754     5.99759 6.04955e-06 5.80609e-06     5.99754     6.00296  0.00542108     1.99078
13     6.00023     6.00028 5.10571e-08  7.6153e-08     5.99754     6.00028  0.00273554     1.98172
14     5.99888     5.99893 1.24727e-06 1.13809e-06     5.99888     6.00028  0.00139277      1.9641
15     5.99955      5.9996 1.98405e-07 1.56362e-07     5.99955     6.00028 0.000721385     1.93069
16     5.99989     5.99994 1.20416e-08 3.56819e-09     5.99989     6.00028 0.000385693     1.87036
17     6.00006     6.00011   3.377e-09 1.16882e-08     5.99989     6.00011 0.000217846     1.77048
18     5.99997     6.00002 6.66218e-10 5.85098e-10     5.99997     6.00011 0.000133923     1.62665
19     6.00002     6.00007 2.60835e-10 4.37587e-09     5.99997     6.00007 9.19616e-05     1.45629
Result: 6.00002016959	Iter: 19	Error: 2.01695919051e-05
eps = 1e-05
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1           9           9     8.99999     9.00002          -2           9          11           2
 2         3.5         3.5     6.25001     6.24998         3.5           9         5.5           2
 3        6.25        6.25   0.0624991   0.0625016         3.5        6.25        2.75           2
 4       4.875       4.875     1.26563     1.26562       4.875        6.25       1.375           2
 5      5.5625      5.5625    0.191408    0.191403      5.5625        6.25    0.687505     1.99999
 6     5.90625     5.90625   0.0087894  0.00878846     5.90625        6.25    0.343755     1.99999
 7     6.07812     6.07813  0.00610323  0.00610401     5.90625     6.07813     0.17188     1.99997
 8     5.99219     5.99219 6.10635e-05 6.09854e-05     5.99219     6.07813   0.0859425     1.99994
 9     6.03515     6.03516  0.00123583  0.00123619     5.99219     6.03516   0.0429737     1.99988
10     6.01367     6.01368  0.00018687 0.000187007     5.99219     6.01368   0.0214894     1.99977
11     6.00293     6.00293 8.57241e-06 8.60172e-06     5.99219     6.00293   0.0107472     1.99953
