
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
  1         10        10     -0.0446841      0.57311,   0.819478         10.229         0          0,          0       0.919678    {0.00470648,0.00672969}, 
  2    4.13766   1.61757       -1.63716     0.822467,  -0.568813        1.14163   5.86234    8.38243,    1.59248       0.456213    {0.764218,-0.528529}, 
  3    3.19871   2.26695       -2.44593     0.570983,   0.820962       0.450485  0.938955   0.649376,   0.808769       0.749404    {0.615038,0.884303}, 
  4    2.94149   1.89712       -2.71835     0.832338,  -0.554269       0.136459   0.25722   0.369831,   0.272414       0.310386    {0.243397,-0.162082}, 
  5    2.82791   1.97275       -2.73843     0.581402,   0.813617      0.0288908   0.11358  0.0756347,  0.0200811       0.730486    {0.0538424,0.0753474}, 
  6    2.81111   1.94925       -2.73973     0.930928,  -0.365202       0.011962 0.0167972  0.0235061, 0.00130615       0.430933    {0.0229337,-0.00899687}, 

Eps: 0.0001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
  1         10        10     -0.0446841      0.57311,   0.819478        10.2292         0          0,          0       0.919678    {0.00470648,0.00672969}, 
  2    4.13752   1.61737       -1.63716     0.822351,  -0.568981        1.14187   5.86248    8.38263,    1.59248       0.456093    {0.764231,-0.528769}, 
  3     3.1985   2.26707       -2.44595     0.570632,   0.821206       0.450626   0.93902   0.649704,   0.808788         0.7493    {0.614715,0.884646}, 
  4    2.94136   1.89702       -2.71836     0.831518,  -0.555498       0.136607  0.257141   0.370056,    0.27241       0.309332    {0.243139,-0.16243}, 
  5    2.82777    1.9729       -2.73842     0.577344,   0.816501      0.0292424  0.113591  0.0758849,  0.0200629         0.7292    {0.0536294,0.0758446}, 
  6    2.81088   1.94902       -2.73974       0.9169,  -0.399117      0.0120892 0.0168829  0.0238765, 0.00131153       0.407061    {0.0225299,-0.00980702}, 
  7     2.7998   1.95385       -2.73987     0.733003,   0.680225    0.000899662 0.0110846 0.00482499,0.000132408       0.766019    {0.00556297,0.00516242}, 

Eps: 1e-05
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
  1         10        10     -0.0446841      0.57311,   0.819478        10.2293         0          0,          0       0.919678    {0.00470648,0.00672969}, 
  2    4.13749   1.61732       -1.63716     0.822323,  -0.569021        1.14187   5.86251    8.38268,    1.59248       0.456064    {0.764234,-0.528825}, 
  3     3.1985   2.26707       -2.44596     0.570639,   0.821201       0.450651  0.938985   0.649747,   0.808792       0.749301    {0.614718,0.884635}, 
  4    2.94134   1.89699       -2.71836     0.831355,  -0.555742       0.136615  0.257159   0.370075,   0.272405       0.309124    {0.243104,-0.16251}, 
  5    2.82777   1.97291       -2.73842     0.577094,   0.816678      0.0292937  0.113576  0.0759228,  0.0200619        0.72912    {0.0536286,0.0758929}, 
  6    2.81086   1.94899       -2.73974     0.914828,  -0.403844      0.0121006 0.0169052  0.0239235,  0.0013125       0.403661    {0.0224858,-0.00992619}, 
  7    2.79979   1.95388       -2.73987      0.72594,   0.687758    0.000967019   0.01107 0.00488677,0.000132335       0.764874    {0.00555289,0.00526082}, 

Eps: 1e-06
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
  1         10        10     -0.0446841      0.57311,   0.819478        10.2293         0          0,          0       0.919678    {0.00470648,0.00672969}, 
  2    4.13748   1.61732       -1.63716     0.822322,  -0.569023        1.14187   5.86252    8.38268,    1.59248       0.456062    {0.764235,-0.528828}, 
  3     3.1985   2.26707       -2.44596     0.570637,   0.821202       0.450655  0.938984    0.64975,   0.808793       0.749301    {0.614716,0.884636}, 
  4    2.94134   1.89699       -2.71836     0.831329,  -0.555781       0.136615  0.257161   0.370079,   0.272405       0.309091    {0.243098,-0.162522}, 
  5    2.82777   1.97292       -2.73842     0.577089,   0.816681      0.0293009  0.113572  0.0759278,  0.0200617       0.729119    {0.0536309,0.0758971}, 
  6    2.81086   1.94899       -2.73974     0.914536,  -0.404505      0.0121034 0.0169092  0.0239295, 0.00131264       0.403185    {0.0224807,-0.00994333}, 
  7    2.79979   1.95388       -2.73987     0.724864,   0.688891    0.000974252 0.0110689 0.00489586,0.000132338       0.764694    {0.005551,0.00527552}, 
  8    2.79908   1.95321       -2.73987     0.837914,   0.545803   -9.78714e-060.0007062010.000671154,1.28124e-06       0.773013    {0.00431981,0.00281385}, 

Eps: 1e-07
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
