
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
  1         10        10             81            1,          0      0.0886507         0          0,          0       0.660409    {18,0}, 
  2    9.91135        10         80.198   0.00522078,   0.999986      0.0892796 0.0886507          0,   0.801959        0.66657    {0.0925664,17.7301}, 
  3    9.91088   9.91072        79.4038     0.999998,-0.00181041       0.0876330.000466109  0.0892784,   0.794198       0.658826    {17.8541,-0.0323232}, 
  4    9.82325   9.91088        78.6176   0.00687649,   0.999976      0.0886507 0.08763290.000158651,   0.786196       0.667247    {0.12052,17.526}, 
  5    9.82264   9.82223         77.839     0.999989,  -0.004615      0.08661540.000609605  0.0886486,    0.77864       0.656584    {17.7271,-0.0818114}, 
  6    9.73603   9.82263        77.0682   0.00871913,   0.999962      0.0880217 0.0866144 0.00039973,   0.770806       0.668039    {0.15103,17.321}, 
  7    9.73526   9.73461        76.3048     0.999973,-0.00733843      0.08574620.000767473  0.0880184,   0.763412        0.65439    {17.5997,-0.129158}, 
  8    9.64951   9.73524         75.549   0.00895615,    0.99996      0.0870041 0.08574390.000629243,   0.755762       0.667786    {0.153564,17.1455}, 
  9    9.64874   9.64824        74.8007     0.999984,-0.00567959      0.08496880.000779221  0.0870006,   0.748372       0.655088    {17.3963,-0.0988054}, 
 10    9.56377   9.64872        74.0599   0.00802416,   0.999968      0.0859864 0.08496740.000482588,   0.740775       0.666773    {0.136344,16.9912}, 
 11    9.56308   9.56274        73.3263     0.999992,-0.00392841      0.08433980.000689969  0.0859837,   0.733557       0.655841    {17.1937,-0.0675444}, 
 12    9.47874   9.56307        72.6002   0.00539065,   0.999985      0.0849688 0.08433920.000331321,   0.726103       0.664653    {0.0909229,16.8666}, 
 13    9.47828    9.4781        71.8813     0.999998,-0.00208007      0.08332220.000458037  0.0849675,   0.718966       0.656652    {16.9919,-0.0353445}, 
 14    9.39496   9.47828        71.1695   0.00757311,   0.999971      0.0843398  0.0833220.000173316,   0.711716       0.665654    {0.1262,16.6637}, 
 15    9.39432   9.39394        70.4646      0.99999,-0.00450764      0.08230450.000638715  0.0843374,   0.704908        0.65465    {16.8647,-0.0760205}, 
 16    9.31202   9.39431        69.7669    0.0100315,    0.99995      0.0837109 0.08230370.000370999,   0.697768       0.666825    {0.165116,16.4589}, 
 17    9.31118    9.3106        69.0757     0.999977,-0.00683914      0.08136110.000839744  0.0837067,   0.691166       0.652707    {16.7368,-0.114468}, 
 18    9.22982   9.31116        68.3916    0.0117379,   0.999931      0.0830819 0.0813592 0.00055644,   0.684122       0.667503    {0.190973,16.2687}, 
 19    9.22884   9.22808        67.7139     0.999958,-0.00912348      0.08034350.000975207  0.0830762,   0.677667        0.65079    {16.6092,-0.15154}, 
 20     9.1485   9.22882        67.0431    0.0145609,   0.999894      0.0823045 0.08034010.000733012,   0.670758       0.668892    {0.233918,16.0631}, 
 21     9.1473   9.14652        66.3786     0.999955,-0.00950587      0.07952020.00119843  0.0822958,   0.664525       0.650125    {16.451,-0.156388}, 
 22    9.06779   9.14728        65.7211    0.0149351,   0.999888      0.0816756 0.07951660.000755908,   0.657555       0.668704    {0.237466,15.8981}, 
 23    9.06657   9.06561        65.0696     0.999931,  -0.011713      0.07869690.00121983  0.0816665,   0.651464       0.648253    {16.3244,-0.19122}, 
 24    8.98788   9.06653        64.4249    0.0155289,   0.999879      0.0808523 0.07869150.000921777,   0.644745       0.668652    {0.244322,15.7314}, 
 25    8.98662   8.98569        63.7862     0.999934, -0.0115077      0.07787360.00125555  0.0808425,   0.638665       0.647972    {16.1592,-0.185968}, 
 26    8.90875   8.98659        63.1542    0.0160934,    0.99987       0.080029 0.07786840.000896148,    0.63201       0.668579    {0.250558,15.5669}, 
 27    8.90746   8.90657        62.5281     0.999937, -0.0112029      0.07705030.00128794  0.0800186,   0.626115       0.647753    {15.9941,-0.179192}, 
 28    8.83042   8.90743        61.9086    0.0167678,   0.999859      0.0792057 0.07704540.000863187,   0.619517       0.668572    {0.258302,15.4025}, 
 29    8.82909   8.82824        61.2947     0.999942,  -0.010787      0.0765415 0.0013281  0.0791946,    0.61382       0.647605    {15.8289,-0.170757}, 
 30    8.75255   8.82906        60.6874     0.013287,   0.999912      0.0781881  0.0765370.000825656,   0.607285       0.665906    {0.203332,15.3018}, 
 31    8.75151   8.75088         60.086     0.999967,-0.00810469      0.07571820.00103888  0.0781811,   0.601428       0.648943    {15.6297,-0.126678}, 
 32     8.6758    8.7515        59.4909    0.0140289,   0.999902      0.0773648 0.07571570.000613672,   0.595142       0.665938    {0.212407,15.1392}, 
 33    8.67471   8.67414        58.9013     0.999972,-0.00744704      0.07520930.00108534  0.0773571,   0.589615       0.648945    {15.4646,-0.115169}, 
 34    8.59951    8.6747        58.3179    0.0106864,   0.999943      0.0765415 0.07520730.000560087,   0.583389       0.663354    {0.160714,15.0383}, 
 35    8.59869   8.59816        57.7401     0.999976,-0.00689582       0.0743860.000817949  0.0765371,    0.57778       0.648874    {15.3029,-0.105529}, 
 36     8.5243   8.59867        57.1682     0.011744,   0.999931      0.0757182 0.07438430.000512953,   0.571857       0.663584    {0.174692,14.8739}, 
 37    8.52342   8.52296        56.6018     0.999982,-0.00599978      0.07356270.000889237  0.0757129,   0.566444       0.649026    {15.1377,-0.0908242}, 
 38    8.44985    8.5234        56.0413    0.0129138,   0.999917      0.0752093 0.0735614 0.00044136,   0.560535       0.663882    {0.189975,14.7097}, 
 39    8.44888    8.4482        55.4859     0.999959,-0.00908764      0.07254510.000971241  0.0752031,   0.555364       0.646566    {15.0344,-0.136633}, 
 40    8.37634   8.44886        54.9363    0.0171684,   0.999853      0.0747005 0.07254210.000659264,   0.549611        0.66614    {0.24904,14.5036}, 
 41    8.37506   8.37417        54.3916     0.999929, -0.0119073      0.07172180.00128248  0.0746895,   0.544728       0.644276    {14.9279,-0.177764}, 
 42    8.30334   8.37502        53.8526    0.0188507,   0.999822      0.0738772 0.07171670.000854014,   0.538936        0.66675    {0.2703,14.3364}, 
 43    8.30195   8.30116        53.3185     0.999943, -0.0106964       0.0712130.00139264  0.0738641,   0.534107       0.644629    {14.7618,-0.157907}, 
 44    8.23074   8.30192        52.7903    0.0158211,   0.999875      0.0730539 0.07120890.000761723,   0.528244       0.664365    {0.225261,14.2362}, 
 45    8.22958   8.22888        52.2669     0.999953,-0.00969622      0.0703897 0.0011558  0.0730448,   0.523338       0.644839    {14.6007,-0.141579}, 
 46     8.1592   8.22956        51.7492    0.0174926,   0.999847      0.0725451 0.07038640.000682514,   0.517757       0.664963    {0.246196,14.0722}, 
 47    8.15793   8.15702         51.236     0.999922,  -0.012471      0.0695664  0.001269   0.072534,   0.513154       0.642574    {14.4967,-0.180801}, 
 48    8.08837   8.15789        50.7283    0.0195454,   0.999809      0.0717218  0.0695610.000867559,   0.507702       0.665796    {0.271829,13.9049}, 
 49    8.08697   8.08618        50.2251      0.99994, -0.0109097      0.06905760.00140183  0.0717081,   0.503176       0.643147    {14.3303,-0.156348}, 
 50    8.01791   8.08694        49.7275    0.0167164,    0.99986      0.0708985 0.06905350.000753395,   0.497605       0.663535    {0.230803,13.805}, 
 51    8.01673   8.01605        49.2345     0.999954,-0.00957422      0.06823430.00118517  0.0708886,   0.493034       0.643567    {14.1691,-0.135665}, 
 52     7.9485    8.0167        48.7468    0.0187465,   0.999824      0.0703897 0.0682311 0.00065329,   0.487702       0.664347    {0.255771,13.6412}, 
 53    7.94718   7.94632        48.2633     0.999927, -0.0121095       0.0674110.00131956  0.0703773,   0.483471       0.641454    {14.0647,-0.170329}, 
 54    7.87977   7.94714        47.7851    0.0211767,   0.999776      0.0700752  0.0674060.000816313,   0.478211       0.665405    {0.285401,13.4741}, 
 55    7.87829   7.87708         47.311     0.999852, -0.0172125      0.06658770.00148396  0.0700595,   0.474152        0.63765    {13.9975,-0.240968}, 
 56    7.81171   7.87823        46.8419    0.0240159,   0.999712      0.0695664 0.0665778 0.00114614,   0.469116        0.66671    {0.319596,13.3038}, 
 57    7.81004   7.80868        46.3768     0.999809, -0.0195266        0.06557 0.0016707  0.0695463,   0.465053        0.63567    {13.8914,-0.271303}, 
