
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
  1         10        10         810081     0.998752, -0.0499351        13.2804         0          0,          0       0.626607    {360018,-18000}, 
  2    -3.2638   10.6632        18.1916     0.931809,    0.36295          1e-05   13.2638   0.663157,     810063      0.0682185    {5.52816,2.15328}, 

Eps: 0.0001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
  1         10        10         810081     0.998752, -0.0499351         13.281         0          0,          0       0.626607    {360018,-18000}, 
  2   -3.26441   10.6632        18.1898     0.282583,   0.959243    0.000845169   13.2644   0.663187,     810063        0.76583    {0.403018,1.36806}, 
  3   -3.26464   10.6624        18.1892    -0.949022,   0.315211    0.0003834990.0002388310.000810722,0.000643675       0.531572    {-2.69177,0.894052}, 
  4   -3.26428   10.6623        18.1886     0.184916,   0.982754     0.001395010.0003639490.000120883,0.000579084       0.812687    {0.253098,1.34511}, 
  5   -3.26454   10.6609        18.1876    -0.981239,   0.192796     0.000471670.000257959 0.00137095,0.000976021        0.43283    {-3.73615,0.734089}, 
  6   -3.26408   10.6608        18.1867    0.0683377,   0.997662     0.003132710.0004628219.09363e-05,0.000937001       0.857071    {0.0904321,1.32022}, 
  7   -3.26429   10.6577        18.1846    -0.997456,    0.07129    0.0006688270.000214082 0.00312538, 0.00209982       0.330615    {-5.81517,0.415621}, 
  8   -3.26362   10.6576        18.1826    -0.148284,   0.988945        1.453180.0006671254.76807e-05, 0.00204376       0.907593    {-0.191487,1.27707}, 
  9   -3.04814   9.22051        16.8865    -0.988945,  -0.148283      0.0124708  0.215483    1.43711,    1.29602       0.153781    {-94.2332,-14.1294}, 
 10   -3.03581   9.22236        16.2916    -0.372402,   0.928072     0.00375482 0.0123329 0.00184921,   0.594913        0.90479    {-0.500373,1.24699}, 
 11   -3.03441   9.21887        16.2891     0.927385,    0.37411    0.000811491 0.0013983 0.00348474, 0.00254234      0.0592976    {5.5717,2.24764}, 
 12   -3.03516   9.21857        16.2866    -0.258341,   0.966054       0.0182710.0007525640.000303586, 0.00250314       0.905129    {-0.340525,1.27338}, 
 13   -3.03044   9.20092        16.2745     0.966019,   0.258472     0.001747690.00472015  0.0176507,  0.0120338     -0.0513964    {12.9664,3.46934}, 
 14   -3.03213   9.20047        16.2625    0.0095316,   0.999955     0.005922380.001688310.000451731,  0.0120438       0.858141    {0.0126957,1.33189}, 
 15   -3.03219   9.19455        16.2585    -0.999946,  0.0104153    0.0009878335.64498e-05 0.00592211, 0.00396403       0.292819    {-7.58525,0.0790067}, 
 16    -3.0312   9.19454        16.2546    -0.253458,   0.967346      0.02042640.0009877791.02885e-05, 0.00391762       0.904626    {-0.334016,1.27481}, 
 17   -3.02602   9.17478        16.2412     0.967274,   0.253734     0.001856680.00517723  0.0197594,  0.0134696     -0.0561902    {13.7041,3.59485}, 
 18   -3.02782   9.17431        16.2277    -0.018641,   0.999826     0.008410830.001795920.000471103,  0.0134464        0.86569    {-0.0247257,1.32619}, 
 19   -3.02766    9.1659        16.2221    -0.999833, -0.0182988     0.001184990.000156786 0.00840937, 0.00559119       0.268415    {-9.05931,-0.165803}, 
 20   -3.02648   9.16592        16.2166    -0.262876,    0.96483      0.01686020.001184792.16839e-05, 0.00555916       0.904858    {-0.34687,1.27311}, 
 21   -3.02204   9.14965        16.2054     0.964734,   0.263225     0.001680340.00443215  0.0162673,  0.0111422      -0.047674    {12.3925,3.38125}, 
 22   -3.02366   9.14921        16.1943   0.00882135,   0.999961     0.005985980.001621080.000442307,  0.0110993       0.857678    {0.0117564,1.33267}, 
 23   -3.02372   9.14322        16.1903    -0.999956,  0.0094101    0.0009878335.28044e-05 0.00598575, 0.00400224       0.292526    {-7.61412,0.0716528}, 
 24   -3.02273   9.14321        16.1863    -0.303069,   0.952969     0.008577340.0009877899.29561e-06, 0.00396479       0.905867    {-0.402085,1.26432}, 
 25   -3.02013   9.13504        16.1806     0.952816,   0.303548     0.001184990.00259952 0.00817394, 0.00570443     -0.0098584    {8.69874,2.77124}, 
 26   -3.02126   9.13468         16.175    0.0184216,    0.99983     0.005383530.001129080.000359701, 0.00566409       0.854644    {0.0245981,1.33506}, 
 27   -3.02136    9.1293        16.1714    -0.999815,  0.0192454     0.000933349.91733e-05 0.00538261, 0.00361026       0.301094    {-7.20469,0.138683}, 
 28   -3.02042   9.12928        16.1678    -0.310964,   0.950422     0.007705460.0009331671.79625e-05, 0.00356645       0.905797    {-0.413133,1.26269}, 
 29   -3.01803   9.12196        16.1627     0.950249,   0.311491      0.00113050.00239612 0.00732343, 0.00513294    -0.00249512    {8.21164,2.69177}, 
 30    -3.0191    9.1216        16.1576    -0.031722,   0.999497      0.01011530.00107425 0.00035214, 0.00509601       0.868454    {-0.0420294,1.32426}, 
 31   -3.01878   9.11149        16.1508     -0.99951, -0.0312926     0.001327650.000320877  0.0101102, 0.00672266       0.257788    {-9.91097,-0.310292}, 
 32   -3.01745   9.11153        16.1442    -0.144086,   0.989565       0.379557  0.0013274.15457e-05, 0.00667956       0.891778    {-0.189293,1.30004}, 
 33   -2.96277   8.73594        15.8803    -0.989566,  -0.144082     0.00806278 0.0546889   0.375596,   0.263883       0.163639    {-57.7525,-8.40886}, 
 34   -2.95479    8.7371        15.6444    -0.319043,    0.94774     0.007602550.00797865 0.00116171,   0.235935       0.902183    {-0.426282,1.2663}, 
 35   -2.95236   8.72989        15.6393     0.947627,   0.319378     0.001184990.00242554 0.00720524,  0.0050861   -0.000940003    {7.98406,2.69086}, 
 36   -2.95348   8.72952        15.6342    -0.222461,   0.974942      0.05902950.00112293 0.00037846,  0.0050716       0.897431    {-0.294077,1.2888}, 
 37   -2.94035   8.67197        15.5955     0.974935,    0.22249     0.00329922 0.0131318  0.0575503,  0.0386948     -0.0922747    {23.0404,5.25806}, 
 38   -2.94357   8.67123        15.5561   -0.0604071,   0.998174      0.01603690.003216520.000734045,  0.0393628       0.869647    {-0.0802519,1.32609}, 
 39    -2.9426   8.65522        15.5455    -0.998193, -0.0600838     0.001721970.000968745  0.0160077,  0.0106854       0.238346    {-12.2108,-0.735}, 
 40   -2.94088   8.65533        15.5348    -0.141398,   0.989953       0.2417140.001718860.000103462,  0.0106222       0.885902    {-0.186864,1.30826}, 
 41    -2.9067   8.41604        15.3705    -0.989953,  -0.141394     0.00665204 0.0341779   0.239285,   0.164347        0.17039    {-46.0488,-6.5771}, 
 42   -2.90012   8.41698        15.2149    -0.368285,   0.929713      0.00462670.006585210.000940559,   0.155594       0.898092    {-0.498662,1.25884}, 
