eps = 0.1
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     3.19313     6.40343      7.8785    0.162759          -2     11.5966     13.5966     1.61806
 2     6.40343     8.38627    0.162759     5.69427     3.19313     11.5966     8.40343     1.61798
 3     5.17597     6.40343    0.679033    0.162759     3.19313     8.38627     5.19313     1.61818
 4     6.40343      7.1588    0.162759     1.34281     5.17597     8.38627      3.2103     1.61765
 5     5.93133     6.40343   0.0047155    0.162759     5.17597      7.1588     1.98283     1.61905
 6     5.64807     5.93133    0.123856   0.0047155     5.17597     6.40343     1.22747     1.61538
 7     5.93133     6.12017   0.0047155   0.0144412     5.64807     6.40343    0.755365       1.625
 8     5.83691     5.93133   0.0265984   0.0047155     5.64807     6.12017    0.472103         1.6
 9     5.93133     6.02575   0.0047155 0.000663118     5.83691     6.12017    0.283262     1.66667
10     6.02575     6.02575 0.000663118 0.000663118     5.93133     6.12017    0.188841         1.5
Result: 5.97854077253	Iter: 10	Error: 0.0214592274678
eps = 0.01
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1      3.1935     6.40325     7.87645    0.162611          -2     11.5967     13.5967     1.61803
 2     6.40325       8.387    0.162611     5.69775      3.1935     11.5967     8.40325     1.61803
 3     5.17724     6.40325    0.676926    0.162611      3.1935       8.387      5.1935     1.61803
 4     6.40325     7.16099    0.162611      1.3479     5.17724       8.387     3.20975     1.61804
 5     5.93498     6.40325  0.00422701    0.162611     5.17724     7.16099     1.98375     1.61803
 6     5.64551     5.93498    0.125663  0.00422701     5.17724     6.40325     1.22601     1.61806
 7     5.93498     6.11378  0.00422701   0.0129452     5.64551     6.40325     0.75774     1.61798
 8      5.8243     5.93498   0.0308693  0.00422701     5.64551     6.11378    0.468266     1.61818
 9     5.93498      6.0031  0.00422701 9.58506e-06      5.8243     6.11378    0.289474     1.61765
10      6.0031     6.04567 9.58506e-06  0.00208535     5.93498     6.11378    0.178793     1.61905
11     5.97755      6.0031 0.000503815 9.58506e-06     5.93498     6.04567    0.110681     1.61538
12      6.0031     6.02012 9.58506e-06 0.000404969     5.97755     6.04567   0.0681115       1.625
