eps = 0.1
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     6.40325     6.40325    0.162612    0.162612          -2     11.5967     13.5967     1.61803
 2     6.40325     6.40325    0.162612    0.162612      3.1935     11.5967     8.40325     1.61803
 3     6.40325     6.40325    0.162612    0.162612      3.1935     8.38699      5.1935     1.61803
 4     6.40325     6.40325    0.162612    0.162612     5.17723     8.38699     3.20976     1.61803
 5     6.40325     6.40325    0.162612    0.162612     5.17723     7.16097     1.98374     1.61803
 6     5.93496     5.93496  0.00423085  0.00423085     5.17723     6.40325     1.22602     1.61803
 7     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.40325    0.757721     1.61803
 8     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.11383    0.468297     1.61803
 9     5.93496     5.93496  0.00423085  0.00423085     5.82441     6.11383    0.289424     1.61803
10     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.11383    0.178874     1.61803
11     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.04551     0.11055     1.61803
12     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.04551   0.0683236     1.61803
Result: 6.01134320208	Iter: 12	Error: 0.0113432020813
eps = 0.01
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     6.40325     6.40325    0.162612    0.162612          -2     11.5967     13.5967     1.61803
 2     6.40325     6.40325    0.162612    0.162612      3.1935     11.5967     8.40325     1.61803
 3     6.40325     6.40325    0.162612    0.162612      3.1935     8.38699      5.1935     1.61803
 4     6.40325     6.40325    0.162612    0.162612     5.17723     8.38699     3.20976     1.61803
 5     6.40325     6.40325    0.162612    0.162612     5.17723     7.16097     1.98374     1.61803
 6     5.93496     5.93496  0.00423085  0.00423085     5.17723     6.40325     1.22602     1.61803
 7     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.40325    0.757721     1.61803
 8     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.11383    0.468297     1.61803
 9     5.93496     5.93496  0.00423085  0.00423085     5.82441     6.11383    0.289424     1.61803
10     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.11383    0.178874     1.61803
11     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.04551     0.11055     1.61803
12     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.04551   0.0683236     1.61803
13     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.01941   0.0422263     1.61803
14     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.01941   0.0260973     1.61803
15     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.00944    0.016129     1.61803
16     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99331     6.00328  0.00996828     1.61803
Result: 5.9982945479	Iter: 16	Error: 0.00170545210478
eps = 0.001
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     6.40325     6.40325    0.162612    0.162612          -2     11.5967     13.5967     1.61803
 2     6.40325     6.40325    0.162612    0.162612      3.1935     11.5967     8.40325     1.61803
 3     6.40325     6.40325    0.162612    0.162612      3.1935     8.38699      5.1935     1.61803
 4     6.40325     6.40325    0.162612    0.162612     5.17723     8.38699     3.20976     1.61803
 5     6.40325     6.40325    0.162612    0.162612     5.17723     7.16097     1.98374     1.61803
 6     5.93496     5.93496  0.00423085  0.00423085     5.17723     6.40325     1.22602     1.61803
 7     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.40325    0.757721     1.61803
 8     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.11383    0.468297     1.61803
 9     5.93496     5.93496  0.00423085  0.00423085     5.82441     6.11383    0.289424     1.61803
10     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.11383    0.178874     1.61803
11     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.04551     0.11055     1.61803
12     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.04551   0.0683236     1.61803
13     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.01941   0.0422263     1.61803
14     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.01941   0.0260973     1.61803
15     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.00944    0.016129     1.61803
16     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99331     6.00328  0.00996828     1.61803
17     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99712     6.00328  0.00616074     1.61803
18     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99712     6.00093  0.00380755     1.61803
19     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99857     6.00093  0.00235319     1.61803
20     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99947     6.00093  0.00145435     1.61803
21     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99947     6.00037  0.00089884     1.61803
Result: 5.99992056415	Iter: 21	Error: 7.94358517231e-05
eps = 0.0001
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     6.40325     6.40325    0.162612    0.162612          -2     11.5967     13.5967     1.61803
 2     6.40325     6.40325    0.162612    0.162612      3.1935     11.5967     8.40325     1.61803
 3     6.40325     6.40325    0.162612    0.162612      3.1935     8.38699      5.1935     1.61803
 4     6.40325     6.40325    0.162612    0.162612     5.17723     8.38699     3.20976     1.61803
 5     6.40325     6.40325    0.162612    0.162612     5.17723     7.16097     1.98374     1.61803
 6     5.93496     5.93496  0.00423085  0.00423085     5.17723     6.40325     1.22602     1.61803
 7     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.40325    0.757721     1.61803
 8     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.11383    0.468297     1.61803
 9     5.93496     5.93496  0.00423085  0.00423085     5.82441     6.11383    0.289424     1.61803
10     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.11383    0.178874     1.61803
11     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.04551     0.11055     1.61803
12     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.04551   0.0683236     1.61803
13     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.01941   0.0422263     1.61803
14     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.01941   0.0260973     1.61803
15     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.00944    0.016129     1.61803
16     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99331     6.00328  0.00996828     1.61803
17     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99712     6.00328  0.00616074     1.61803
18     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99712     6.00093  0.00380755     1.61803
19     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99857     6.00093  0.00235319     1.61803
20     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99947     6.00093  0.00145435     1.61803
21     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99947     6.00037  0.00089884     1.61803
22     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99981     6.00037 0.000555513     1.61803
23     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99981     6.00016 0.000343326     1.61803
24     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99995     6.00016 0.000212187     1.61803
25     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99995     6.00008 0.000131139     1.61803
26           6           6 1.84893e-11 1.84893e-11     5.99995     6.00003 8.10483e-05     1.61803
Result: 5.99998613362	Iter: 26	Error: 1.38663808711e-05
eps = 1e-05
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     6.40325     6.40325    0.162612    0.162612          -2     11.5967     13.5967     1.61803
 2     6.40325     6.40325    0.162612    0.162612      3.1935     11.5967     8.40325     1.61803
 3     6.40325     6.40325    0.162612    0.162612      3.1935     8.38699      5.1935     1.61803
 4     6.40325     6.40325    0.162612    0.162612     5.17723     8.38699     3.20976     1.61803
 5     6.40325     6.40325    0.162612    0.162612     5.17723     7.16097     1.98374     1.61803
 6     5.93496     5.93496  0.00423085  0.00423085     5.17723     6.40325     1.22602     1.61803
 7     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.40325    0.757721     1.61803
 8     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.11383    0.468297     1.61803
 9     5.93496     5.93496  0.00423085  0.00423085     5.82441     6.11383    0.289424     1.61803
10     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.11383    0.178874     1.61803
11     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.04551     0.11055     1.61803
12     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.04551   0.0683236     1.61803
13     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.01941   0.0422263     1.61803
14     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.01941   0.0260973     1.61803
15     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.00944    0.016129     1.61803
16     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99331     6.00328  0.00996828     1.61803
17     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99712     6.00328  0.00616074     1.61803
18     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99712     6.00093  0.00380755     1.61803
19     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99857     6.00093  0.00235319     1.61803
20     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99947     6.00093  0.00145435     1.61803
21     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99947     6.00037  0.00089884     1.61803
22     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99981     6.00037 0.000555513     1.61803
23     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99981     6.00016 0.000343326     1.61803
24     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99995     6.00016 0.000212187     1.61803
25     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99995     6.00008 0.000131139     1.61803
26           6           6 1.84893e-11 1.84893e-11     5.99995     6.00003 8.10483e-05     1.61803
27           6           6 1.84893e-11 1.84893e-11     5.99998     6.00003 5.00906e-05     1.61803
28           6           6 1.84893e-11 1.84893e-11     5.99998     6.00001 3.09577e-05     1.61803
29           6           6 1.84893e-11 1.84893e-11     5.99999     6.00001 1.91329e-05     1.61803
30           6           6 4.69781e-14 4.69781e-14           6     6.00001 1.18248e-05     1.61803
31           6           6 4.69781e-14 4.69781e-14           6           6 7.30812e-06     1.61803
Result: 5.99999935414	Iter: 31	Error: 6.4586262738e-07
eps = 1e-06
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     6.40325     6.40325    0.162612    0.162612          -2     11.5967     13.5967     1.61803
 2     6.40325     6.40325    0.162612    0.162612      3.1935     11.5967     8.40325     1.61803
 3     6.40325     6.40325    0.162612    0.162612      3.1935     8.38699      5.1935     1.61803
 4     6.40325     6.40325    0.162612    0.162612     5.17723     8.38699     3.20976     1.61803
 5     6.40325     6.40325    0.162612    0.162612     5.17723     7.16097     1.98374     1.61803
 6     5.93496     5.93496  0.00423085  0.00423085     5.17723     6.40325     1.22602     1.61803
 7     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.40325    0.757721     1.61803
 8     5.93496     5.93496  0.00423085  0.00423085     5.64553     6.11383    0.468297     1.61803
 9     5.93496     5.93496  0.00423085  0.00423085     5.82441     6.11383    0.289424     1.61803
10     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.11383    0.178874     1.61803
11     6.00328     6.00328 1.07498e-05 1.07498e-05     5.93496     6.04551     0.11055     1.61803
12     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.04551   0.0683236     1.61803
13     6.00328     6.00328 1.07498e-05 1.07498e-05     5.97718     6.01941   0.0422263     1.61803
14     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.01941   0.0260973     1.61803
15     6.00328     6.00328 1.07498e-05 1.07498e-05     5.99331     6.00944    0.016129     1.61803
16     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99331     6.00328  0.00996828     1.61803
17     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99712     6.00328  0.00616074     1.61803
18     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99712     6.00093  0.00380755     1.61803
19     5.99947     5.99947 2.79688e-07 2.79688e-07     5.99857     6.00093  0.00235319     1.61803
20     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99947     6.00093  0.00145435     1.61803
21     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99947     6.00037  0.00089884     1.61803
22     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99981     6.00037 0.000555513     1.61803
23     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99981     6.00016 0.000343326     1.61803
24     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99995     6.00016 0.000212187     1.61803
25     6.00003     6.00003 7.10637e-10 7.10637e-10     5.99995     6.00008 0.000131139     1.61803
26           6           6 1.84893e-11 1.84893e-11     5.99995     6.00003 8.10483e-05     1.61803
27           6           6 1.84893e-11 1.84893e-11     5.99998     6.00003 5.00906e-05     1.61803
28           6           6 1.84893e-11 1.84893e-11     5.99998     6.00001 3.09577e-05     1.61803
29           6           6 1.84893e-11 1.84893e-11     5.99999     6.00001 1.91329e-05     1.61803
30           6           6 4.69781e-14 4.69781e-14           6     6.00001 1.18248e-05     1.61803
31           6           6 4.69781e-14 4.69781e-14           6           6 7.30812e-06     1.61803
32           6           6 4.69781e-14 4.69781e-14           6           6 4.51667e-06     1.61803
33           6           6 4.69781e-14 4.69781e-14           6           6 2.79145e-06     1.61803
34           6           6 4.69781e-14 4.69781e-14           6           6 1.72521e-06     1.61803
35           6           6 4.69781e-14 4.69781e-14           6           6 1.06624e-06     1.61803
36           6           6 1.22227e-15 1.22227e-15           6           6 6.58973e-07     1.61803
Result: 5.99999988726	Iter: 36	Error: 1.12742257308e-07
eps = 1e-07
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1     6.40325     6.40325    0.162612    0.162612          -2     11.5967     13.5967     1.61803
