  i                 x,y         f(x,y)   (s1,s2)    lambdax2-x1, y2-y1, f2-f1     angle       grad, H1
  1       -10,      -11            221
  2   11.9998,  12.9998        220.991
  3  -9.99934, -10.9993        220.973
  4   11.9987,  12.9986        220.947
  5   -9.9978, -10.9976        220.912
  6   11.9967,  12.9964        220.867
  7  -9.99538,  -10.995        220.814
  8   11.9938,  12.9933        220.753
  9  -9.99208, -10.9914        220.682
 10   11.9901,  12.9892        220.603
 11  -9.98791, -10.9868        220.514
 12   11.9855,  12.9842        220.417
 13  -9.98285, -10.9813        220.312
 14     11.98,  12.9782        220.197
 15  -9.97692, -10.9748        220.074
 16   11.9736,  12.9712        219.942
 17  -9.97012, -10.9674        219.801
 18   11.9664,  12.9633        219.652
 19  -9.96244,  -10.959        219.493
 20   11.9583,  12.9545        219.327
 21  -9.95389, -10.9497        219.151
 22   11.9493,  12.9447        218.967
 23  -9.94448, -10.9394        218.775
 24   11.9394,  12.9339        218.573
 25  -9.93419, -10.9282        218.364
 26   11.9287,  12.9222        218.145
 27  -9.92304,  -10.916        217.919
 28   11.9171,  12.9096        217.683
 29  -9.91103, -10.9029         217.44
 30   11.9047,   12.896        217.187
 31  -9.89816, -10.8889        216.927
 32   11.8914,  12.8815        216.658
 33  -9.88444, -10.8739        216.381
 34   11.8773,  12.8661        216.095
 35  -9.86986,  -10.858        215.802
 36   11.8623,  12.8497          215.5
 37  -9.85443, -10.8412         215.19
 38   11.8464,  12.8324        214.871
 39  -9.83816, -10.8234        214.545
 40   11.8297,  12.8142         214.21
 41  -9.82105, -10.8048        213.868
 42   11.8122,  12.7951        213.517
 43  -9.80309, -10.7852        213.159
 44   11.7938,  12.7751        212.792
 45  -9.78431, -10.7647        212.418
 46   11.7746,  12.7541        212.036
 47   -9.7647, -10.7433        211.646
 48   11.7546,  12.7323        211.249
 49  -9.74426,  -10.721        210.843
 50   11.7337,  12.7095         210.43
 51    -9.723, -10.6978         210.01
 52   11.7121,  12.6859        209.582
 53  -9.70093, -10.6737        209.146
 54   11.6896,  12.6614        208.703
 55  -9.67804, -10.6488        208.253
 56   11.6663,   12.636        207.795
 57  -9.65436, -10.6229         207.33
 58   11.6422,  12.6097        206.857
 59  -9.62987, -10.5962        206.378
 60   11.6173,  12.5825        205.891
 61   -9.6046, -10.5687        205.398
 62   11.5917,  12.5545        204.897
 63  -9.57853, -10.5402        204.389
 64   11.5652,  12.5257        203.875
 65  -9.55169, -10.5109        203.353
 66    11.538,   12.496        202.825
 67  -9.52407, -10.4808         202.29
 68     11.51,  12.4654        201.748
 69  -9.49569, -10.4498          201.2
 70   11.4812,   12.434        200.646
 71  -9.46654,  -10.418        200.084
 72   11.4517,  12.4018        199.517
 73  -9.43664, -10.3854        198.943
 74   11.4214,  12.3688        198.362
 75  -9.40599,  -10.352        197.776
 76   11.3904,   12.335        197.183
 77   -9.3746, -10.3177        196.584
