
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                      grad, H1
  1         10        10         810081  0.000499986,     -89.99        1.00016         0          0,          0       -8.64186    {360018,-18000},  { { 2.7777e-05,0.00055554 }, {0.00055554, 0.0161108} }
  2     9.9995   100.004         81.011     -3.86313,   -77.2447      -0.0940870.000500065    90.0041,     810000        -43.653    {-38.5899,2.82958},  { { -0.214631,-4.2924 }, {-4.2924, -85.8386} }
  3    9.63603   92.7364        75.9413     0.362457,    6.86865        1.16061  0.363471    7.26772,    5.06971        6.39738    {466.82,-23.3264},  { { 0.0209851,0.404427 }, {0.404427, 7.79914} }
  4    9.21536   84.7646        69.9958     0.255563,    4.55198        2.28967  0.420669     7.9718,    5.94546        4.32184    {599.692,-31.6461},  { { 0.015554,0.286671 }, {0.286671, 5.28855} }
  5    8.63021   74.3421        60.1338     0.270881,    4.53718        1.88941  0.585154    10.4225,      9.862        4.27832    {492.823,-27.6681},  { { 0.0177506,0.306383 }, {0.306383, 5.29329} }
  6     8.1184   65.7695         52.601     0.251705,    3.94798        2.11428  0.511805    8.57258,     7.5328        3.72661    {465.307,-27.7807},  { { 0.0176799,0.287065 }, {0.287065, 4.66602} }
  7    7.58623   57.4224        45.0279     0.251513,    3.68763        1.99331  0.532174    8.34712,    7.57318        3.46753    {402.899,-25.6864},  { { 0.0190938,0.289701 }, {0.289701, 4.40047} }
  8    7.08488   50.0718        38.5578     0.240944,    3.29035        2.06608  0.501343    7.35059,    6.47011        3.09006    {362.933,-24.7543},  { { 0.0197986,0.280541 }, {0.280541, 3.98021} }
  9    6.58707   43.2737        32.5578     0.236012,     2.9934        2.02566   0.49781    6.79812,    5.99991        2.80257    {316.456,-23.1728},  { { 0.0211213,0.278255 }, {0.278255, 3.67077} }
 10    6.10899   37.2101        27.3058     0.227625,     2.6714        2.05131   0.47808     6.0636,     5.2521        2.49555    {278.339,-21.9448},  { { 0.0222769,0.272179 }, {0.272179, 3.33048} }
 11    5.64207   31.7302        22.6029     0.220694,    2.38768        2.04167  0.466929    5.47986,    4.70288        2.22397    {240.991,-20.5339},  { { 0.0237712,0.268237 }, {0.268237, 3.03182} }
 12    5.19148   26.8554        18.4916     0.212595,    2.11129        2.05181  0.450584    4.87484,    4.11124        1.96112    {207.9,-19.2158},  { { 0.0253604,0.263316 }, {0.263316, 2.739} }
 13    4.75528   22.5234        14.8981     0.204718,    1.85776         2.0508  0.436206    4.33197,    3.59355        1.72031    {177.213,-17.8436},  { { 0.0272574,0.259233 }, {0.259233, 2.47045} }
 14    4.33544   18.7135         11.806     0.196176,     1.6185        2.05828  0.419835     3.8099,    3.09211         1.4942    {149.76,-16.5023},  { { 0.0294078,0.254991 }, {0.254991, 2.216} }
 15    3.93166   15.3822        9.16798     0.187394,    1.39781        2.06259  0.403785    3.33134,    2.63799        1.28641    {124.948,-15.1443},  { { 0.0319604,0.251315 }, {0.251315, 1.98117} }
 16    3.54514   12.4991        6.95292     0.178146,    1.19417        2.06823  0.386517    2.88312,    2.21506        1.09564    {102.843,-13.7868},  { { 0.0349973,0.24814 }, {0.24814, 1.76438} }
 17    3.17669   10.0293        5.12382     0.168434,    1.00801        2.07439  0.368447    2.46982,     1.8291       0.922231    {83.2819,-12.4231},  { { 0.0386905,0.245815 }, {0.245815, 1.56676} }
